# USB mapping

# for Windows
# for Intel Edison
USB\VID_8087&PID_0A9E&MI_02\	Intel Edison Virtual Com Port	edison
USB\VID_8087&PID_0A9E\	Intel Edison USB Composite Device	edison
FTDIBUS\VID_0403+PID_6001+	USB Serial Port	edison
# for Huzzah Feather ESP8266
USB\VID_10C4&PID_EA60\	Silicon Labs CP210x USB to UART Bridge	huzzah
# for Adafruit Feather M0
USB\VID_239A&PID_800B&MI_00\	USB Serial Device	adafruit_feather_m0_usb
# for SparkFun ESP8266 Thing Dev
FTDIBUS\VID_0403+PID_6015+DN01AIYZA\	USB Serial Port	thingdev

# for Linux
# for Intel Edison
usb-Intel_Edison_	Intel Edison Virtual Com Port	edison
usb-FTDI_FT232R_USB_UART_	Intel Edison USB Composite Device	edison
# for Huzzah Feather ESP8266
usb-Silicon_Labs_CP2104_USB_to_UART_Bridge_Controller_	Silicon Labs CP210x USB to UART Bridge	huzzah
# for Adafruit Feather M0
usb-Adafruit_Feather_	USB Serial Device	adafruit_feather_m0_usb
# for SparkFun ESP8266 Thing Dev
usb-FTDI_FT231X_USB_UART_	USB Serial Port	thingdev

# for Mac
# for Intel Edison
usb-VID_8087&PID_0a9e	Intel Edison Virtual Com Port	edison
usb-VID_0403&PID_6001	USB Serial Port	edison
# for Huzzah Feather ESP8266
usb-VID_10c4&PID_ea60	Silicon Labs CP210x USB to UART Bridge	huzzah
# for Adafruit Feather M0
usb-VID_239a&PID_800b	USB Serial Device	adafruit_feather_m0_usb
# for SparkFun ESP8266 Thing Dev
usb-VID_0403&PID_6015	USB Serial Port	thingdev
